CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Biotecnología Vegetal,,,Martes,13:00,17:00,0,1205,FBMC,Capiati/Segretin,,21,Biotecnología Vegetal/Biotecnología Agrícola
Estadística 1/Estadística 2,,,Martes,9:30,12:30,0,1206,IC,,,27,Estadística 1/Estadística 2
Fund.y Aplicaciones de Blockchains,,,Martes,15:00,17:00,0,1206,DC,Mocskos,,34,Fundamentos y Aplicaciones de Blockchains/Blockchains: Aspectos Teóricos y Prácticos
Física 2,,TB,Martes,17:00,22:00,0,1206,DF,Skigin/Etchemendy,,8,Física 2
Estructura de la Materia 4,,,Martes,9:00,12:00,0,1207,DF,Sassot,,26,Estructura de la Materia 4
Charla de Ingresantes CyT Alimentos,11/11/2025,,Martes,13:00,17:00,0,1207,,,,35,
Conceptos y Técnicas de Biotecnología I,,,Martes,17:00,20:00,0,1207,FBMC,D'alessio,,39,Conceptos y Técnicas de Biotecnología I
Álgebra II/Tópicos de Álgebra II,,,Martes,9:00,14:00,0,1208,DM,Cortiñas/Rufolo,,32,Álgebra II/Tópicos de Álgebra II
Circuitos Neuronales y Comportamiento,,,Martes,14:00,17:00,0,1208,FBMC,Berón,,37,Circuitos Neuronales y Comportamiento
Cálculo Avanzado,,,Martes,17:00,22:00,0,1208,DM,Suarez Alvarez/Frungillo,,16,Cálculo Avanzado
"Producir,Comunicar y Evaluar Textos",,,Martes,10:00,14:00,0,1209,CCPEMS,Aduriz/Williman,,35,"Producir, Comunicar y Evaluar Textos Científicos: Teoría y Práctica de la Escritura de Papers"
Microbiología de Alimentos,,,Martes,14:00,16:00,0,1209,,,,26,Microbiología de Alimentos
Probabilidades y Estadística,,,Martes,17:00,22:00,0,1209,DM,Groisman/Figueroa,,28,Probabilidades y Estadística
Genética ,,TM,Martes,9:00,13:00,0,1301,EGE,Andrioli,,9,Genética 
Genética ,,TT,Martes,13:00,17:00,0,1301,EGE,Andrioli,,9,Genética 
Genética ,,TN,Martes,17:00,21:00,0,1301,EGE,Andrioli,,9,Genética 
Evolución,,,Martes,9:00,13:00,0,1302,EGE,Mahler,,9,Evolución
Semana de la Ciencia,11/11/2025,,Martes,14:00,16:00,0,1302,,,,,
Tesis Karen Churba,25/11/2025,,Martes,14:00,16:00,0,1302,,,,,
Evolución,,,Martes,17:00,21:00,0,1302,EGE,Carreira,,9,Evolución
Aprendizaje Automático II / 2025,,,Martes,9:00,13:00,0,1303,DC,Brusco,,32,Aprendizaje Automático I / 2025/Introducción al Aprendizaje Automático I/Aprendizaje Automático II / 2025
Reserva Groisman a partir de octubre,,,Martes,13:00,17:00,0,1303,,,,36,Reserva Groisman a partir de octubre
Análisis Topológico de Datos,,,Martes,9:00,13:00,0,1304,DC,Cerdeiro,,28,Análisis Topológico de Datos/Tópicos de Análisis Topológicos de Datos
Int.a la Biología Molecular y Celular,18/11/2025,,Martes,13:30,17:30,0,1304,FBMC,Colman,,37,Int.a la Biología Molecular para Paleontólogos/Introducción a la Biología Molecular y Celular d26/8/21/11
