CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,,,,
Topología aplicada y análisis topológico de datos-La Topología de los Datos,,,Viernes,15:00,18:00,0,1205,DM,Minian,,75,Topología aplicada y análisis topológico de datos-La Topología de los Datos
Ecología General ,,TC,Viernes,18:00,22:00,0,1205,EGE,Cristiano,,17,Ecología General 
Ecología General ,,TB,Viernes,9:00,13:00,0,1206,EGE,Burroni,,17,Ecología General 
Homologia Persistente,,,Viernes,15:00,18:00,0,1206,DM,Fernández Ximena,,21,Homologia Persistente
Ecología General ,,TD,Viernes,18:00,22:00,0,1206,EGE,Santoandre,,17,Ecología General 
Estructura de la Materia 4,,,Viernes,9:00,12:00,0,1207,DF,Sassot,,26,Estructura de la Materia 4
Tesis Cassarino Chiara,5/12/2025,,Viernes,12:00,14:00,0,1207,,,,,
"Seminario ""MODESTO"" ",d31/10/2025-h12/12/2025,,Viernes,12:00,14:00,0,1207,DM,,,20,"Seminario ""MODESTO"" Departamento de Matemática"
Meteorología General,,,Viernes,14:00,19:00,0,1207,DCAO,Diaz/Burek,,20,Meteorología General
Álgebra II-Tópicos de Álgebra II,,,Viernes,9:00,14:00,0,1208,DM,Cortiñas/Rufolo,,32,Álgebra II-Tópicos de Álgebra II
ROUNA,28/11/2025,,Viernes,14:00,17:00,0,1208,,,,5,ROUNA
Cálculo Avanzado,,,Viernes,17:00,22:00,0,1208,DM,Suarez Alvarez/Frungillo,,16,Cálculo Avanzado
Vertebrados,,,Viernes,9:30,12:30,0,1209,BBE,Faivovich,,11,Vertebrados
Tesis María Luz Alvarez,14/11/2025,,Viernes,13:00,16:00,0,1209,,,,,
Probabilidades y Estadística ,,,Viernes,17:00,22:00,0,1209,DM,Groisman/Figueroa,,29,Probabilidades y Estadística 
Electromagnetismo y Óptica ,,Turno A,Viernes,9:00,13:00,0,1301,DF,Estrada/Armaleo,,27,Electromagnetismo y Óptica 
Tesis Fumiatti,31/10/2025,,Viernes,13:00,16:00,0,1301,,,,,
Redaccion Cientifica,14/11/2025,,Viernes,13:00,17:00,0,1301,,Crespo,,,
ROUNA,28/11/2025,,Viernes,14:00,17:00,0,1301,,,,5,ROUNA
Química Física II ,,,Viernes,17:00,22:00,0,1301,QI,Gonzalez,,18,Química Física II 
Inglés Universitario IB ,NO 14/11/2025,,Viernes,10:00,13:00,0,1302,SA,Maita,,24,Inglés Universitario IB 
Semana de los profesorados,14/11/2025,,Viernes,10:00,13:00,0,1302,,,,26,Semana de los profesorados
Evolución-Evolución para Paleontólogos ,,,Viernes,13:00,17:00,0,1302,EGE,Tropeira,,39,Evolución-Evolución para Paleontólogos 
Epigenética,07/11/2025,,Viernes,9:30,13:30,0,1303,,,,11,Epigenética: interfase entre la genética y el ambiente
Semana de los profesorados,14/11/2025,,Viernes,10:00,13:00,0,1303,,,,26,Semana de los profesorados
Teoría de las Comunicaciones,14/11/2025,,Viernes,14:00,17:00,0,1303,,,,,
Química Biológica,,,Viernes,17:00,20:00,0,1303,QB,Santos,,17,Química Biológica
Seminario de Equidad en Algoritmos,,,Viernes,10:30,12:00,0,1304,DC,Cotik,CARRO,34,
Complementos de Análisis Funcional,,,Viernes,15:00,18:00,0,1304,DM,Carando,,34,Complementos de Análisis Funcional/Tópicos de Complementos de Análisis Funcional 
Neurobiología del Aprendizaje y la Mem.,,,Viernes,18:00,22:00,0,1304,FBMC,Romano,,39,Neurobiología del Aprendizaje y la Memoria/Mecanismos de Memoria
Int.Aprendizaje Autom. en Grafos 2025,,,Viernes,9:00,11:00,0,1305,DC,Lombardi,,37,Introducción al Aprendizaje Automático en Grafos - 2025
Int.Computación e Información Cuántica,,,Viernes,13:00,16:00,0,1305,DM,Mansilla,,38,Introducción a la Computación e Información Cuántica/Teoría de la Computación e Información Cuántica 
Análisis Avanzado de Alimentos,,,Viernes,17:00,22:00,0,1305,QO,Buera/Marino,3º bimestre de 2025,30,Análisis Avanzado de Alimentos/Avances en Análisis de Alimentos
Física del Plasma/Física de Plasmas,,,Viernes,10:00,14:00,0,1306,DF,Minotti/Xaubet,,35,Física del Plasma/Física de Plasmas
Taller de Técnicas de Estudio,,,Viernes,14:30,17:00,0,1306,SEGB,Picco,,29,Taller de Técnicas de Estudio
Temas de Nanofísica,,,Viernes,17:00,20:00,0,1306,DF,Llois,,19,Temas de Nanofísica
AED/AEDII,31/10/2025,,Viernes,9:00,13:00,0,1307,,,,9,AED/AEDII
Fitopatología ,7/11/2025,,Viernes,11:00,14:00,0,1307,,,,,
Semana de los profesorados,14/11/2025,,Viernes,10:00,13:00,0,1307,,,,26,Semana de los profesorados
Workshop Mixed local and nonlocal operators,28/11/2025,,Viernes,9:00,17:00,0,1307,,Balderrama (DM),,,
Taller de Tesis II,,,Viernes,19:00,22:00,0,1307,DATA,,,18,Taller de Tesis II
Fisiología Animal Comparada,NO14/11/2025 ,,Viernes,10:00,12:00,0,1308,BBE,Rodríguez,ver 1113,27,Fisiología Animal Comparada
Física 2 ,,TB,Viernes,17:00,22:00,0,1308,DF,Skigin/Etchemendy,,9,Física 2 
LAGOS 2025 (BONOMO),14/11/2025,,Viernes,9:00,15:00,0,1308,,,cambiar x 1403,19,LAGOS 2025 (BONOMO)
Evolución,,,Viernes,9:30,12:30,0,1309,EGE,Soto/Tubaro,,9,Evolución-Evolución para Paleontólogos
Int.Biología Molecular y Celular ,,,Viernes,13:00,17:00,0,1309,FBMC,Colman,,33,Introducción a la Biología Molecular y Celular 
Física 4 ,,,Viernes,17:00,22:00,0,1309,DF,Tamborenea/Vigh,,9,Física 4 
Int.a la Botánica,31/10/2025,,Viernes,18:00,21:00,0,1401,,,,,
Int.a la Botánica,7/11/2025,,Viernes,18:00,21:00,0,1401,,,,,
LAGOS 2025 ,14/11/2025,,Viernes,9:00,15:00,0,1401,,BONOMO,,11,LAGOS 2025 
Reserva Proyección Inacayal,14/11/2025,,Viernes,18:00,22:00,0,1401,,,,,
RESERVA ALBERTO KORNBLIHTT,21/11/2025,,Viernes,13:00,17:00,0,1401,,,,26,RESERVA ALBERTO KORNBLIHTT
XIV Conference on Quantum Foundations ,28/11/2025,,Viernes,8:30,18:00,0,1401,,BOSYK,,38,XIV Conference on Quantum Foundations 
Phonons 2025 ,05/12/2025,,Viernes,9:00,18:00,0,1401,,BRAGAS,,13,Phonons 2025 
Jornada QB,12/12/2025,,Viernes,9:00,18:00,0,1401,,,,10,Jornada QB
1ºEncuentro sobre Racismo y Enseñanza,31/10/2025,,Viernes,16:00,20:00,0,1402,,Gastón Pérez,,37,Primer Encuentro sobre Racismo y Enseñanza de las Ciencias en Argentina
Reserva Fita Borrell (DCAO),07/11/2025,,Viernes,8:00,20:00,0,1402,,,,27,Reserva Fita Borrell (DCAO)
