CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Teoría Cuántica de Campos,,,Lunes,14:00,19:00,0,1114,DF,Lombardo,,25,Teoría Cuántica de Campos /Teoría Cuántica de Campos 
Inglés Universitario IIIB,,,Lunes,10:00,13:00,0,1115,SA,Rego,,25,Inglés Universitario IIIB
Est.Sistema Climático 1/Prob.y Est.,,,Lunes,14:00,19:00,0,1115,DCAO,Bettolli/Diaz,,35,Estadística para el Sistema Climático 1/Probabilidades y Estadística
Temas Avanzados de Term.Fca.Estadística,,,Lunes,9:00,14:00,0,1203,DF,Calzetta,,39,Temas Avanzados de Termodinámica y Física Estadística/Nuevos Desarrollos en Termodinámica y Física Estadística
Matemática II,,,Lunes,17:00,19:00,0,1203,DM,Suarez Alvarez,,13,Matemática II
Ecuaciones Diferenciales ,,,Lunes,9:00,14:00,0,1204,DM,Fernandez Bonder/Ceresa,,25,Ecuaciones Diferenciales A/Ecuaciones Diferenciales B 
Análisis Complejo,,,Lunes,14:00,19:00,0,1204,DM,Rial/Aguilera,,17,Análisis Complejo
Optimización Semidefinida,,,Lunes,19:00,22:00,0,1204,IC,Laplagne,,25,Optimización Semidefinida/Temas de Optimización Semidefinida
Inglés Universitario IV B,,,Lunes,10:00,13:00,0,1205,SA,Negro,,25,Inglés Universitario IV B
FEDUBA,10/11/2025,,Lunes,13:00,16:00,0,1205,,,,,
Física II,,,Lunes,17:00,21:00,0,1205,DF,Morales/Severino,,9,Física II
Matemática 4,10/11/2025,,Lunes,10:00,13:00,0,1206,,,,,
Analisis Topologico de Datos,,,Lunes,15:00,18:00,0,1206,,,LOGITECH,28,Analisis topologico de Datos(desde octubre)
Biología Celular ,,,Lunes,18:00,22:00,0,1206,BBE,Coluccio,,17,Biología Celular 
Química Física I ,,,Lunes,9:00,14:00,0,1207,QI,Castro,,17,Química Física I 
Seminario de Análisis Armónico y Func.,,,Lunes,14:00,16:00,0,1207,,Fernández Vidal,,38,Seminario de Análisis Armónico y Funcional
Estadística/Int.Estadística y C.Datos,,,Lunes,17:00,19:00,0,1207,IC,Valdora,,37,Estadística/Introducción a la Estadística y Ciencia de Datos/Tópicos de Estadística
Matemática II ,,,Lunes,9:00,11:00,0,1208,DM,Stockdale,,14,Matemática II 
Química Orgánica 1 ,,,Lunes,15:00,17:00,0,1208,QO,Di Chenna,hasta 03/12,19,Química Orgánica 1 
Estructura de la Materia 3 ,,,Lunes,17:00,20:00,0,1208,DF,Alcoba,,27,Estructura de la Materia 3 
Semana de la Ciencia,10/11/2025,,Lunes,10:00,13:00,0,1209,,,,,
Tipos Dependientes y Demostradores,,,Lunes,13:00,17:00,0,1209,DC,Barenbaum,,34,Tipos Dependientes y Demostradores Interactivos / 2025 
Física 3 ,,TB,Lunes,17:00,22:00,0,1209,DF,Chernomoretz/Marques,,9,Física 3 
IP/AEDI,10/11/2025,,Lunes,9:00,14:00,0,1301,,,,,
AOC/ORGA II,10/11/2025,,Lunes,15:00,17:00,0,1301,,,,,
Curso de Láseres (Estrada),17/11/2025,,Lunes,9:00,17:00,0,1301,,,,,
Química Industrial ,,,Lunes,17:00,21:00,0,1301,DI,Cassanello,,19,Química Industrial 
Biometría II/Mod.Lin.Grales.y Mixtos ,10/11/2025,,Lunes,9:30,12:00,0,1302,EGE,Pérez,,37,Biometría II/Modelos Lineales Generales y Mixtos 
Introducción al Cambio Climatología,,,Lunes,14:00,17:00,0,1302,DCAO,,,35,Procesamiento de Imágenes I 
Física Teórica 1 ,,,Lunes,17:00,22:00,0,1302,DF,Minini/Rubin,,17,Física Teórica 1 
Seguridad de la Información   ,,,Lunes,18:00,21:00,0,1303,DC,Baader,,30,Seguridad de la Información   
Tesis de Licenciatura ,,,Lunes,10:00,13:00,0,1304,IC,Farall,,22,Tesis de Licenciatura 
Informática Educativa ,,,Lunes,16:00,18:00,0,1304,CCPEMS,Chacín,,22,Informática Educativa 
Neurobiología del Aprendizaje y la Mem.,,,Lunes,18:00,22:00,0,1304,FBMC,Romano,,39,Neurobiología del Aprendizaje y la Memoria/Mecanismos de Memoria 
Semana de la Ciencia,10/11/2025,,Lunes,10:00,12:00,0,1305,,,,,
Taller de Técnicas de Estudio,,,Lunes,14:30,17:00,0,1305,SEGB,Picco,,29,Taller de Técnicas de Estudio
