CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Bioinformática Avanzada,,,Jueves,9:00,13:00,0,1108,QB,Marti,,23,Bioinformática Avanzada/Programación y Algoritmos en Bioinformática Avanzada
Circuitos Neuronales y Comportamiento ,,,Jueves,14:00,17:00,0,1108,FBMC,Berón,,38,Circuitos Neuronales y Comportamiento 
Biometría,,TN,Jueves,18:00,21:30,0,1108,EGE,Palmerio,,9,Biometría
Estructura de la Materia 1,06/11/2025,,Jueves,9:00,12:00,0,13/01/1903,,,,,
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,0,13/01/1903,,,,27,Semana de los profesorados 
Ecuaciones Diferenciales,20/11/2025,,Jueves,11:00,13:00,30/12/1899,13/01/1903,,,,,
Concurso NODOCENTE,27/11/2025,,Jueves,10:00,14:00,30/12/1899,13/01/1903,,,,18,Modelado Baroclínico del Océano (Salió)
Herramientas de visualización de datos,NO13/11/2025,,Jueves,14:00,18:00,30/12/1899,13/01/1903,IC,,,38,Herramientas de visualización de datos
Semana de los profesorados,13/11/2025,,Jueves,14:00,17:00,0,1109,,,,26,Semana de los profesorados
Circulación General,,,Jueves,9:00,12:00,0,1110,DCAO,Risaro,,19,Circulación General/Procesos Atmosféricos y Oceánicos de Gran Escala/Procesos Dinámicos de Gran Escala en la Atmósfera 
Estadística/Int.Est. y Ciencia de Datos,,,Jueves,19:00,21:00,0,1110,IC,Valdora,,39,Estadística/Introducción a la Estadística y Ciencia de Datos/Tópicos de Estadística
Estructura de la Materia 1,06/11/2025,,Jueves,9:00,12:00,0,15/01/1903,,,,26,Int. a la Nanofotónica
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,30/12/1899,15/01/1903,,,,27,Semana de los profesorados / 2/2
Aprendizaje Reforzado ,06/11/2025-13/11/2025-20/11/2025-27/11/2025,,Jueves,18:00,20:00,0,1111,DATA,,,22,Aprendizaje Reforzado 
Álgebra Lineal Computacional,,,Jueves,17:00,22:00,0,1112,,,,,
Drug discovery ,13/11/2025,,Jueves,9:00,14:00,0,1113,,Zaiat,,15,Drug discovery (Zaiat)
ROUNA,27/11/2025,,Jueves,14:00,17:00,0,1113,,,,5,ROUNA
Introducción a las Neurociencias Cognitivas del Lenguaje,04/12/2025,,Jueves,9:00,18:00,0,1113,,,,,
Carrera de Seguridad en el Ámb.Laboral,6/11/2025,,Jueves,14:00,20:00,30/12/1899,18/01/1903,,,,38,Carrera de Seguridad en el Ámbito Laboral
Semana de los profesorados ,13/11/2025,,Jueves,9:00,13:00,0,18/01/1903,,,,27,Semana de los profesorados 
Redaccion Cientifica,13/11/2025,,Jueves,13:00,17:00,30/12/1899,18/01/1903,,Crespo,,,
Curso de Láseres (Estrada),20/11/2025,,Jueves,9:00,17:00,0,1114,,,,,
ROUNA,27/11/2025,,Jueves,14:00,17:00,0,1114,,,,5,ROUNA
Genética Molecular,,,Jueves,10:00,13:00,0,1115,FBMC,Guberman/Dain,,18,Genética Molecular
Genética Molecular,,,Jueves,13:00,16:00,0,1115,FBMC,Guberman/Dain,,18,Genética Molecular
Historia de la Ciencia,,,Jueves,18:00,22:00,30/12/1899,19/01/1903,CCPEMS,Folguera,,22,Historia de la Ciencia
RIESGOS PSICOSOCIALES Y STRESS DE TRABAJO,06/11/2025,,Jueves,11:00,13:00,30/12/1899,17/04/1903,,,,41,
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,0,1203,,,,27,Semana de los profesorados 
Semana de los profesorados ,13/11/2025,,Jueves,14:00,17:00,0,1203,,,,27,Semana de los profesorados 
Geometría Proyectiva,,,Jueves,17:00,22:00,30/12/1899,17/04/1903,DM,Quallbrun/Aza,,20,Geometría Proyectiva/Tópicos de Geometría Proyectiva
Química Orgánica ,,TA1,Jueves,9:00,12:00,0,1204,QO,Duran Fernando,,17,Química Orgánica 
Grupo de Proteínas alternativas de Brasil,06/11/2025,,Jueves,12:00,14:00,0,1204,,,,,
Química Orgánica ,,TB1,Jueves,14:00,17:00,0,1204,QO,Duran Fernando,,17,Química Orgánica 
Fund.Biología Molecular y Fis. Cel.,,TN,Jueves,17:00,21:00,0,1204,FBMC,Nadra,,35,Fundamentos de Biología Molecular y Fisiología Celular 
Biotecnología Vegetal,,,Jueves,9:30,12:30,0,1205,FBMC,Capiati/Segretin,,21,Biotecnología Vegetal/Biotecnología Agrícola 
Biotecnología Vegetal,,,Jueves,13:00,17:00,0,1205,FBMC,Capiati/Segretin,,21,Biotecnología Vegetal/Biotecnología Agrícola 
Estadística Computacional ,,,Jueves,17:00,22:00,0,1205,DC,Laje,,26,Estadística Computacional 
Estadística 1+Estadística 2 ,,,Jueves,10:30,12:30,0,1206,IC,4to.bimestre-,,28,Estadística 1+Estadística 2 
Química Orgánica ,,TB2,Jueves,14:00,17:00,0,1206,QO,Duran Fernando,,17,Química Orgánica 
Química Orgánica ,,TC,Jueves,18:00,21:00,30/12/1899,20/04/1903,QO,Duran Fernando,,17,Química Orgánica 
